Activity ID,Week,Activity Date,type,text,Distance
10028830991,1,"Oct 13, 2023, 2:29:03 AM",interval,3x800,7.58
10039279826,1,"Oct 14, 2023, 8:05:46 PM",tempo,,7.03
10045969566,1,"Oct 15, 2023, 6:47:10 PM",long,,19
10058470868,2,"Oct 17, 2023, 11:43:36 PM",tempo,,6.01
10074699825,2,"Oct 19, 2023, 11:21:23 PM",interval,3x800,7.76
10074699823,2,"Oct 20, 2023, 10:45:39 PM",tempo,,6.05
10086874532,2,"Oct 22, 2023, 6:41:23 PM",long,,14.37
10111565470,3,"Oct 25, 2023, 8:31:36 PM",tempo,,8.01
10111567414,3,"Oct 26, 2023, 11:54:50 PM",interval,3x800,7.04
10121901701,3,"Oct 28, 2023, 11:49:33 PM",tempo,,8.01
10128107392,3,"Oct 29, 2023, 8:51:01 PM",long,,24
10132571664,4,"Oct 30, 2023, 7:48:58 PM",tempo,,7.88
10139228670,4,"Oct 31, 2023, 10:53:47 PM",interval,3x800,7.24
10160498221,4,"Nov 3, 2023, 12:22:12 PM",tempo,,7.01
10165044816,4,"Nov 5, 2023, 11:29:53 AM",bike ride,,45.29
10190034972,5,"Nov 9, 2023, 5:54:01 PM",interval,4x800,8.42
10195393887,5,"Nov 10, 2023, 6:28:45 PM",tempo,,10.01
10208576161,5,"Nov 12, 2023, 8:01:25 PM",long,,21.1
10220201908,6,"Nov 14, 2023, 11:47:00 PM",tempo,,9.5
10231359251,6,"Nov 16, 2023, 9:42:26 PM",interval,4x800,8.98
10236389656,6,"Nov 17, 2023, 9:57:29 PM",tempo,,8.7
10248909249,6,"Nov 19, 2023, 10:15:20 PM",long,,24.02
10259988207,7,"Nov 21, 2023, 11:08:52 PM",interval,4x800,8.92
10287587021,7,"Nov 24, 2023, 8:32:20 PM",tempo,,5
10287587144,7,"Nov 26, 2023, 8:38:40 PM",long,,26.01
10298308801,8,"Nov 28, 2023, 11:20:56 PM",tempo,,9.1
10303802652,8,"Nov 29, 2023, 10:48:58 PM",interval,4x800,9.01
10313452359,8,"Dec 1, 2023, 10:48:04 PM",tempo,,9.11
10324761386,8,"Dec 3, 2023, 9:29:00 PM",long,,22.01
10334971456,9,"Dec 5, 2023, 10:39:19 PM",tempo,,9.02
10345795044,9,"Dec 7, 2023, 11:13:32 PM",interval,4x800,8.84
10350526229,9,"Dec 8, 2023, 10:50:58 PM",tempo,,9
10360864479,9,"Dec 10, 2023, 6:15:37 PM",long,,30
10376809976,10,"Dec 13, 2023, 11:13:37 PM",tempo,,10.01
10381762552,10,"Dec 14, 2023, 11:05:34 PM",interval,4x800,8.91
10407585716,10,"Dec 15, 2023, 11:40:24 PM",tempo,,10.01
10397409313,10,"Dec 17, 2023, 9:21:45 PM",long,,21.13
10407585773,11,"Dec 19, 2023, 11:46:21 PM",tempo,,10.1
10417275584,11,"Dec 21, 2023, 11:14:30 PM",interval,4x800,9.42
10422371946,11,"Dec 22, 2023, 11:33:31 PM",tempo,,10.07
10432157320,11,"Dec 24, 2023, 6:47:48 PM",long,,30.01
10446925886,12,"Dec 27, 2023, 7:32:06 PM",tempo,,8.01
10452789252,12,"Dec 28, 2023, 8:08:18 PM",tempo,,8
10459056869,12,"Dec 29, 2023, 11:08:51 PM",interval,4x800,9.73
10470756298,12,"Dec 31, 2023, 8:02:35 PM",long,,21.22
10488988381,13,"Jan 3, 2024, 10:01:52 PM",tempo,,6.51
10496035899,13,"Jan 4, 2024, 11:28:28 PM",interval,4x800,9.38
10507352743,13,"Jan 6, 2024, 7:06:47 PM",tempo,,6.52
10515598811,13,"Jan 7, 2024, 8:55:01 PM",long,,21.13
10527791496,14,"Jan 9, 2024, 10:05:25 PM",tempo,,5.01
10534689019,14,"Jan 10, 2024, 11:49:19 PM",interval,3x800,6.11
10552880326,14,"Jan 13, 2024, 8:23:52 PM",tempo,,5.03
10560380297,14,"Jan 14, 2024, 9:42:45 PM",long,,12.87
10572221802,15,"Jan 16, 2024, 7:33:23 PM",tempo,,5.01
,15,"Jan 19, 2024",tempo,,5
,15,"Jan 20, 2024",tempo,,3.01